Timestamp	Open	Low	High	Close	Volume	IsGap	IsAuction	Classes	
1600074187	98360	98360	98395	98395	1	true	false	
1600074187	98395	98395	98430	98430	0	true	false	
1600074187	98430	98430	98465	98465	0	true	false	
1600074187	98465	98465	98500	98500	0	true	false	
1600074187	98500	98500	98535	98535	0	true	false	
1600074187	98535	98535	98570	98570	0	true	false	
1600074187	98570	98570	98605	98605	0	true	false	
1600074187	98605	98605	98640	98640	0	true	false	
1600074187	98640	98640	98675	98675	0	true	false	
1600074187	98675	98675	98710	98710	0	true	false	
1600074187	98710	98710	98745	98745	0	true	false	
1600074187	98745	98745	98780	98780	0	true	false	
1600074187	98780	98780	98815	98815	0	true	false	
1600074187	98815	98815	98850	98850	0	true	false	
1600074187	98850	98850	98885	98885	0	true	false	
1600074187	98885	98885	98920	98920	0	true	false	
1600074187	98920	98920	98955	98955	0	true	false	
1600074187	98955	98955	98990	98990	0	true	false	
1600074187	98990	98990	99025	99025	0	true	false	
1600074187	99025	99025	99060	99060	0	true	false	
1600074187	99060	99060	99095	99095	0	true	false	
1600074187	99095	99095	99130	99130	0	true	false	
1600074187	99130	99130	99165	99165	0	true	false	
1600074187	99165	99165	99200	99200	0	true	false	
1600074187	99200	99200	99235	99235	0	true	false	
1600074188	99235	99225	99270	99270	411	true	false	
1600074193	99270	99245	99305	99305	1143	true	false	
1600074193	99305	99305	99340	99340	257	true	false	
1600074197	99340	99280	99375	99375	1339	true	false	
1600074200	99375	99305	99380	99305	931	true	false	
1600074203	99305	99270	99315	99270	386	true	false	
1600074212	99270	99235	99320	99235	988	true	false	
1600074222	99235	99200	99280	99200	1681	true	false	
1600074223	99200	99165	99200	99165	250	true	false	
1600074239	99165	99130	99205	99130	2560	true	false	
1600074416	99130	99110	99200	99200	1829	true	false	
1600074421	99200	99200	99235	99235	700	true	false	
1600074746	99235	99165	99270	99270	9480	true	false	
1600074838	99270	99200	99280	99200	3467	true	false	
1600074900	99200	99165	99200	99165	2661	true	false	
1600074906	99165	99130	99165	99130	1270	true	false	
1600074976	99130	99095	99200	99200	4691	true	false	
1600075148	99200	99130	99230	99130	5500	true	false	
1600075245	99130	99095	99170	99095	3970	true	false	
1600075321	99095	99065	99165	99165	5930	true	false	
1600075365	99165	99160	99200	99200	2817	true	false	
1600075455	99200	99130	99235	99130	3525	true	false	
1600075538	99130	99095	99150	99095	3307	true	false	
1600075690	99095	99060	99125	99060	5195	true	false	
1600075725	99060	99045	99130	99130	2361	true	false	
1600075800	99130	99060	99160	99060	4708	true	false	
1600075883	99060	99050	99130	99130	3710	true	false	
1600075889	99130	99120	99165	99165	807	true	false	
1600075972	99165	99135	99200	99200	3490	true	false	
1600076078	99200	99130	99210	99130	3503	true	false	
1600076100	99130	99095	99135	99095	1250	true	false	
1600076239	99095	99080	99165	99165	4347	true	false	
1600076388	99165	99145	99200	99200	4373	true	false	
1600076789	99200	99130	99230	99130	12774	true	false	
1600076817	99130	99125	99200	99200	1399	true	false	
1600076835	99200	99170	99235	99235	1608	true	false	
1600076941	99235	99165	99260	99165	7489	true	false	
1600076979	99165	99130	99190	99130	1620	true	false	
1600076989	99130	99095	99140	99095	1845	true	false	
1600077006	99095	99060	99105	99060	3056	true	false	
1600077136	99060	99025	99095	99025	8926	true	false	
1600077151	99025	99015	99095	99095	2367	true	false	
1600077547	99095	99065	99130	99130	11629	true	false	
1600077549	99130	99130	99165	99165	357	true	false	
1600077590	99165	99095	99190	99095	3041	true	false	
1600077612	99095	99060	99145	99060	2648	true	false	
1600077632	99060	99040	99130	99130	2003	true	false	
1600077836	99130	99085	99165	99165	6317	true	false	
1600077887	99165	99155	99200	99200	2925	true	false	
1600078020	99200	99180	99235	99235	1494	true	false	
1600078020	99235	99235	99270	99270	0	true	false	
1600078020	99270	99270	99305	99305	0	true	false	
